,Site,Date,Time,Value
139,0031,2020-01-06,19.0,0.225
140,0031,2020-01-06,20.0,0.202
141,0031,2020-01-06,21.0,0.205
142,0031,2020-01-06,22.0,0.195
143,0031,2020-01-06,23.0,0.198
144,0031,2020-01-07,0.0,0.205
145,0031,2020-01-07,1.0,0.219
146,0031,2020-01-07,2.0,0.246
147,0031,2020-01-07,3.0,0.321
148,0031,2020-01-07,4.0,0.318
149,0031,2020-01-07,5.0,0.418
150,0031,2020-01-07,6.0,0.494
151,0031,2020-01-07,7.0,0.623
152,0031,2020-01-07,8.0,0.824
153,0031,2020-01-07,9.0,0.753
154,0031,2020-01-07,10.0,1.628
155,0031,2020-01-07,11.0,0.432
156,0031,2020-01-07,12.0,0.182
157,0031,2020-01-07,13.0,0.0
158,0031,2020-01-07,14.0,0.148
159,0031,2020-01-07,15.0,0.165
160,0031,2020-01-07,16.0,0.187
161,0031,2020-01-07,17.0,0.223
162,0031,2020-01-07,18.0,0.233
163,0031,2020-01-07,19.0,0.226
164,0031,2020-01-07,20.0,0.217
165,0031,2020-01-07,21.0,0.192
166,0031,2020-01-07,22.0,0.19
167,0031,2020-01-07,23.0,0.203
168,0031,2020-01-08,0.0,0.207
169,0031,2020-01-08,1.0,0.173
170,0031,2020-01-08,2.0,0.175
171,0031,2020-01-08,3.0,0.176
172,0031,2020-01-08,4.0,0.177
173,0031,2020-01-08,5.0,0.164
174,0031,2020-01-08,6.0,0.164
175,0031,2020-01-08,7.0,0.161
176,0031,2020-01-08,8.0,0.173
177,0031,2020-01-08,9.0,0.166
178,0031,2020-01-08,10.0,0.164
179,0031,2020-01-08,11.0,0.171
180,0031,2020-01-08,12.0,0.17
181,0031,2020-01-08,13.0,0.179
182,0031,2020-01-08,14.0,0.169
183,0031,2020-01-08,15.0,0.186
184,0031,2020-01-08,16.0,0.193
185,0031,2020-01-08,17.0,0.183
186,0031,2020-01-08,18.0,0.17
187,0031,2020-01-08,19.0,0.16
188,0031,2020-01-08,20.0,0.181
189,0031,2020-01-08,21.0,0.168
190,0031,2020-01-08,22.0,0.16
191,0031,2020-01-08,23.0,0.176
192,0031,2020-01-09,0.0,0.188
193,0031,2020-01-09,1.0,0.215
194,0031,2020-01-09,2.0,0.239
195,0031,2020-01-09,3.0,0.206
196,0031,2020-01-09,4.0,0.218
197,0031,2020-01-09,5.0,0.0
198,0031,2020-01-09,6.0,0.253
199,0031,2020-01-09,7.0,0.287
200,0031,2020-01-09,8.0,0.262
201,0031,2020-01-09,9.0,0.251
202,0031,2020-01-09,10.0,0.253
203,0031,2020-01-09,11.0,0.251
204,0031,2020-01-09,12.0,0.584
205,0031,2020-01-09,13.0,1.134
206,0031,2020-01-09,14.0,0.646
207,0031,2020-01-09,15.0,0.451
208,0031,2020-01-09,16.0,0.565
209,0031,2020-01-09,17.0,0.554
210,0031,2020-01-09,18.0,0.404
211,0031,2020-01-09,19.0,0.586
212,0031,2020-01-09,20.0,0.753
213,0031,2020-01-09,21.0,0.398
214,0031,2020-01-09,22.0,0.223
215,0031,2020-01-09,23.0,0.201
216,0031,2020-01-10,0.0,0.184
217,0031,2020-01-10,1.0,0.167
218,0031,2020-01-10,2.0,0.165
219,0031,2020-01-10,3.0,0.164
220,0031,2020-01-10,4.0,0.209
221,0031,2020-01-10,5.0,0.0
222,0031,2020-01-10,6.0,0.188
223,0031,2020-01-10,7.0,0.205
224,0031,2020-01-10,8.0,0.208
225,0031,2020-01-10,9.0,0.241
226,0031,2020-01-10,10.0,0.516
227,0031,2020-01-10,11.0,0.542
228,0031,2020-01-10,12.0,0.585
229,0031,2020-01-10,13.0,0.865
230,0031,2020-01-10,14.0,0.888
231,0031,2020-01-10,15.0,1.043
232,0031,2020-01-10,16.0,1.112
233,0031,2020-01-10,17.0,1.077
234,0031,2020-01-10,18.0,1.158
235,0031,2020-01-10,19.0,1.079
236,0031,2020-01-10,20.0,0.821
237,0031,2020-01-10,21.0,0.467
238,0031,2020-01-10,22.0,0.714
239,0031,2020-01-10,23.0,0.272
240,0031,2020-01-11,0.0,0.171
241,0031,2020-01-11,1.0,0.16
242,0031,2020-01-11,2.0,0.165
243,0031,2020-01-11,3.0,0.157
244,0031,2020-01-11,4.0,0.163
245,0031,2020-01-11,5.0,0.171
246,0031,2020-01-11,6.0,0.182
247,0031,2020-01-11,7.0,0.177
248,0031,2020-01-11,8.0,0.179
249,0031,2020-01-11,9.0,0.178
250,0031,2020-01-11,10.0,0.182
251,0031,2020-01-11,11.0,0.178
252,0031,2020-01-11,12.0,0.178
253,0031,2020-01-11,13.0,0.174
254,0031,2020-01-11,14.0,0.171
255,0031,2020-01-11,15.0,0.175
256,0031,2020-01-11,16.0,0.181
257,0031,2020-01-11,17.0,0.153
258,0031,2020-01-11,18.0,0.161
259,0031,2020-01-11,19.0,0.171
260,0031,2020-01-11,20.0,0.169
261,0031,2020-01-11,21.0,0.18
262,0031,2020-01-11,22.0,0.17
263,0031,2020-01-11,23.0,0.166
264,0031,2020-01-12,0.0,0.149
265,0031,2020-01-12,1.0,0.136
266,0031,2020-01-12,2.0,0.156
267,0031,2020-01-12,3.0,0.148
268,0031,2020-01-12,4.0,0.174
269,0031,2020-01-12,5.0,0.189
270,0031,2020-01-12,6.0,0.201
271,0031,2020-01-12,7.0,0.195
272,0031,2020-01-12,8.0,0.173
273,0031,2020-01-12,9.0,0.176
274,0031,2020-01-12,10.0,0.176
275,0031,2020-01-12,11.0,0.174
276,0031,2020-01-12,12.0,0.216
277,0031,2020-01-12,13.0,0.178
278,0031,2020-01-12,14.0,0.191
279,0031,2020-01-12,15.0,0.204
280,0031,2020-01-12,16.0,0.186
281,0031,2020-01-12,17.0,0.187
282,0031,2020-01-12,18.0,0.245
283,0031,2020-01-12,19.0,0.237
284,0031,2020-01-12,20.0,0.237
285,0031,2020-01-12,21.0,0.223
286,0031,2020-01-12,22.0,0.238
287,0031,2020-01-12,23.0,0.225
288,0031,2020-01-13,0.0,0.246
289,0031,2020-01-13,1.0,0.251
290,0031,2020-01-13,2.0,0.248
291,0031,2020-01-13,3.0,0.255
292,0031,2020-01-13,4.0,0.463
293,0031,2020-01-13,5.0,0.0
294,0031,2020-01-13,6.0,0.554
295,0031,2020-01-13,7.0,0.71
296,0031,2020-01-13,8.0,0.858
297,0031,2020-01-13,9.0,0.909
298,0031,2020-01-13,10.0,0.728
299,0031,2020-01-13,11.0,0.248
300,0031,2020-01-13,12.0,0.245
301,0031,2020-01-13,13.0,0.257
302,0031,2020-01-13,14.0,0.263
303,0031,2020-01-13,15.0,0.252
304,0031,2020-01-13,16.0,0.261
305,0031,2020-01-13,17.0,0.262
306,0031,2020-01-13,18.0,0.339
307,0031,2020-01-13,19.0,0.373
308,0031,2020-01-13,20.0,0.369
309,0031,2020-01-13,21.0,0.331
310,0031,2020-01-13,22.0,0.508
311,0031,2020-01-13,23.0,0.498
312,0031,2020-01-14,0.0,0.355
313,0031,2020-01-14,1.0,0.377
314,0031,2020-01-14,2.0,0.385
